TREEID,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LAT,LONG,TREE_STATUS,NATIVE_TREE,DBH_HEIGHT,DBHX
5325,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914230028,49.259911,-123.247048,,,,
5326,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225628,49.25992,-123.246905,,,,
5328,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914230951,49.260003,-123.247186,,,,
5330,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225721,49.25987,-123.248246,,,,
4528,Pyrus domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175837,PLAN,20200914225804,49.265953,-123.255884,,,,
2650,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914225821,49.262801,-123.248125,,,,
2651,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914231013,49.262934,-123.248235,,,,
2652,Acer x freemanii 'Armstrong',,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230110,49.263,-123.248285,,,,
2673,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175849,PLAN,20200914230137,49.25941,-123.24878,,,,
6487,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175850,PLAN,20200914225931,49.264005,-123.246903,,,,
6680,Prunus Sato zakura group,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230925,49.2681,-123.257354,,,,
6681,Prunus Sato zakura group,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230059,49.268114,-123.257425,,,,
6654,Thuja plicat,,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225716,49.26887,-123.258176,,,,
2159,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225641,49.259742,-123.251392,,,,
2160,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225728,49.259932,-123.250854,,,,
2161,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225626,49.259902,-123.250936,,,,
2162,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230508,49.259876,-123.251015,,,,
3535,Juglans ailanthifolia,,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914225918,49.262614,-123.253295,,,,
3550,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230214,49.261055,-123.254326,,,,
3551,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230016,49.261025,-123.254306,,,,
2761,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230633,49.263418,-123.253429,,,,
2763,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225706,49.263483,-123.253484,,,,
2768,Ilex aquifolium 'Myrtifolia',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914230440,49.263749,-123.25373,,,,
2775,Prunus cerasifera 'Nigra',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914225719,49.263178,-123.254673,,,,
2777,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175851,PLAN,20200914231029,49.263617,-123.254992,,,,
4243,Corylus Svetlana 'Contorta',,,,,,,,,,,,,,,,,,PLAN,20190614175907,PLAN,20200914230422,49.265504,-123.2545,,,,
6678,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914230759,49.268553,-123.258174,,,,
6655,Chamaecyparis obtusa 'Nana',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914230308,49.268658,-123.258279,,,,
2165,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230801,49.259801,-123.251241,,,,
2167,Liriodendron tulilpifera,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914225806,49.259707,-123.251343,,,,
4234,Amelanchier grandiflora,,N,,Live,,,,,,,20,5,4,,,,,PLAN,20190614175920,PLAN,20200914225813,49.265774,-123.255027,,,,
6692,Magnolia,Magnolia,,,,,,,,,,,,,,,,,PLAN,20190614175852,PLAN,20200914225741,49.268106,-123.258075,,,,
6668,Magnolia,Magnolia,,,,,,,,,,,,,,,,,PLAN,20190614175852,PLAN,20200914230202,49.268183,-123.258121,,,,
4316,Eucryphia x nymanensis,,,,,,,,,,,,,,,,,,PLAN,20190614175908,PLAN,20200914230047,49.267704,-123.254334,,,,
2103,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230325,49.269186,-123.255581,,,,
2105,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225744,49.269214,-123.255117,,,,
4276,Prunus ceracifera "Nigeria",,N,,Live,,,,,,,,,4,,,,,PLAN,20190614175920,PLAN,20200914230935,49.265913,-123.254731,,,,
5377,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230637,49.259994,-123.247207,,,,
5379,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230348,49.259977,-123.247255,,,,
5380,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914231041,49.259968,-123.247287,,,,
5381,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230302,49.25996,-123.247308,,,,
5382,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230049,49.259953,-123.247329,,,,
5385,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225759,49.260063,-123.246997,,,,
5386,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230326,49.260075,-123.246972,,,,
5387,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230520,49.260089,-123.246938,,,,
5388,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230320,49.260099,-123.246892,,,,
5389,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230857,49.260108,-123.246872,,,,
5390,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225631,49.26012,-123.246839,,,,
5392,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225642,49.260096,-123.246812,,,,
2147,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230303,49.260272,-123.249885,,,,
2149,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230213,49.260223,-123.250029,,,,
2150,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225730,49.260198,-123.250103,,,,
2151,Robinia pseudoacacia 'Frisia',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230531,49.26017,-123.250177,,,,
4204,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225936,49.264073,-123.255298,,,,
4207,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225851,49.263996,-123.255551,,,,
4208,Prunus serrulata 'Kanzan',,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225703,49.263959,-123.255635,,,,
4209,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225634,49.263906,-123.255459,,,,
4210,Malus  x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914231001,49.263884,-123.25544,,,,
4211,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914230908,49.263855,-123.255369,,,,
4214,Malus x domestica,,,,,,,,,,,,,,,,,,PLAN,20190614175909,PLAN,20200914225658,49.263794,-123.255515,,,,
2694,Prunus cerasifera 'Pissardii Nigra',,,,,,,,,,,,,,,,,,PLAN,20190614175842,PLAN,20200914230319,49.262462,-123.253925,,,,
6658,Chamaecyparis obtusa 'Nana',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914225843,49.268901,-123.257789,,,,
6679,Parrotia persica,,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914225640,49.268794,-123.257708,,,,
6660,Thuja plicata 'Zebrina',,,,,,,,,,,,,,,,,,PLAN,20190614175856,PLAN,20200914230145,49.268612,-123.258171,,,,
5359,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230158,49.259655,-123.247587,,,,
5360,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230953,49.25987,-123.24702,,,,
5361,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225704,49.259892,-123.247034,,,,
5363,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225700,49.260124,-123.247061,,,,
5364,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230215,49.260181,-123.247109,,,,
5365,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230228,49.260222,-123.247133,,,,
5366,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914225831,49.260068,-123.247179,,,,
2087,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175910,PLAN,20200914230945,49.269222,-123.255485,,,,
2097,,,,,,,,,,,,,,,,,,,PLAN,20190614175910,PLAN,20200914230232,49.269007,-123.255713,,,,
2099,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175910,PLAN,20200914225937,49.269117,-123.255791,,,,
2100,Fraxinus angustifolia 'Raywood',,,,,,,,,,,,,,,,,,PLAN,20190614175910,PLAN,20200914230213,49.269154,-123.255675,,,,
2728,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175842,PLAN,20200914225625,49.263351,-123.253417,,,,
2729,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914230806,49.263441,-123.253504,,,,
2730,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225728,49.263456,-123.253518,,,,
2732,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914230134,49.263494,-123.253551,,,,
2733,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914230901,49.263511,-123.253568,,,,
2734,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225629,49.263535,-123.253587,,,,
2735,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225854,49.263558,-123.253599,,,,
2736,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225933,49.263576,-123.253617,,,,
2738,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225632,49.26337,-123.25344,,,,
2740,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175843,PLAN,20200914225720,49.263407,-123.253481,,,,
2741,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914225910,49.263424,-123.253492,,,,
2742,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914230233,49.263613,-123.253645,,,,
2743,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914225636,49.26363,-123.253654,,,,
2744,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914230612,49.263648,-123.25367,,,,
2745,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914230226,49.263665,-123.253685,,,,
2750,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175844,PLAN,20200914230645,49.263504,-123.253503,,,,
2751,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914230451,49.263594,-123.253577,,,,
2753,Carpinus betulus 'Fastigiata',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914225632,49.263595,-123.253632,,,,
2756,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914225644,49.263616,-123.253597,,,,
2757,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914230310,49.263571,-123.253559,,,,
2758,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914230047,49.26355,-123.253541,,,,
5367,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230949,49.260095,-123.247203,,,,
5368,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230053,49.260121,-123.247219,,,,
5369,Fagus sylvatica 'Dawyck',,,,,,,,,,,,,,,,,,PLAN,20190614175857,PLAN,20200914230419,49.260144,-123.247238,,,,
4017,Acer Plalmatum,,N,,Live,,0,,,,,,,7,,,,,PLAN,20190614175927,PLAN,20200914225718,49.261524,-123.253048,,,,
2792,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230610,49.263589,-123.25507,,,,
2793,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225956,49.263577,-123.255109,,,,
2795,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230322,49.263694,-123.254682,,,,
2796,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225936,49.263774,-123.254751,,,,
2798,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230616,49.263757,-123.254932,,,,
2799,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230922,49.263711,-123.254889,,,,
2801,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230151,49.263609,-123.256248,,,,
2804,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230322,49.264247,-123.255313,,,,
2805,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230142,49.264283,-123.255336,,,,
2806,Acer rubrum 'Red Sunset',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230954,49.264319,-123.255361,,,,
2817,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225717,49.263593,-123.256304,,,,
2818,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230042,49.263594,-123.256163,,,,
2819,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225811,49.263574,-123.256218,,,,
2820,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230628,49.263556,-123.256274,,,,
2826,Chamaecyparis pisfora,,N,,Live,,,,,,,,1,4,,,,,PLAN,20190614175924,PLAN,20200914225837,49.26502,-123.25438,,,,
2759,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914230852,49.263526,-123.253522,,,,
2760,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175845,PLAN,20200914230334,49.263458,-123.253464,,,,
2778,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230148,49.263603,-123.255038,,,,
2780,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230921,49.263682,-123.256307,,,,
2781,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230259,49.263664,-123.256217,,,,
2782,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225820,49.263645,-123.256279,,,,
2783,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225640,49.263625,-123.256328,,,,
2784,Prunus yedonensis 'Akebono',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230427,49.263627,-123.256189,,,,
2789,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914225843,49.263656,-123.254883,,,,
2790,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230618,49.263642,-123.254921,,,,
2791,Cornus 'Eddie's White Wonder',,,,,,,,,,,,,,,,,,PLAN,20190614175846,PLAN,20200914230313,49.263632,-123.254957,,,,
