BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10341,Cecil Green Park Coach House,CGPC,Complete,19110101,Administrative,,UBC,Academic,UBC,Occupied,,Wood,2,,243,421,0,,,,,RACHELW,20210621223710,Unspecified,,,UBC,B3,,-123.25847,49.271001
VBL10208,Carey Hall,CRYH,Complete,19600101,Other,,Non-UBC,Chancellor,Non-UBC,Occupied,,Concrete,1,,907,804;806,0,,new GBA taken from spreadsheet,GISSTUD2,20190514225613,RACHELW,20210707204945,Unspecified,,,,B3,LeasedFromUBC,-123.248532,49.271737
VBL10192,Main Substation,MSUB,Complete,19750101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,1,,345,789;789-1,0,,,,,TONYZ,20210713174629,Outbuildings,,,UBC,B3,,-123.24437,49.261347
VBL10294,AYO Smart Home,AYOH,Complete,20160107,Other,,Non-UBC,Academic,Non-UBC,Temporary,,Wood,2,6.1,160,538,0,,,,,TONYZ,20210713174629,Outbuildings,,,,B3,LeasedFromUBC,-123.243407,49.263038
VBL10439,Acadia Park Residence - Montgomery Place,APR2,Complete,19880101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,,1070,009-15;009-16;009-17;009-20;009-21;009-22;009-23;009-24;009-25;009-26,0,,GBA from OSIS,RACHELW,20200716183842,TONYZ,20210520221449,Duplex/Townhouse,,,UBC,B5,,-123.238725,49.264815
VBL10115,St. James House,STJA,Complete,19940405,Housing,,UNA,Hampton,Private,Occupied,,Wood,5,,12386,503,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,AptLess5Storey,,,,B5,,-123.237199,49.25822
VBL10258,Acadia Park Residence - Melfa Lane,APR1,Complete,19890101,StudentHousing,,UBC,Academic,SHHS,Occupied,,Wood,3,,1785,009-01;009-02;009-03;009-04;009-01;010-01;010-02;010-03;010-04;010-05,0,,GBA from OSIS,RACHELW,20200716183842,TONYZ,20210520221449,Duplex/Townhouse,,,UBC,B5,,-123.2371,49.264247
VBL10214,Thunderbird Stadium,STAD,Complete,19670101,Athletics,,UBC,Academic,Athletics,Occupied,,Concrete,2,,3156,785,0,,,,,TONYZ,20210713174629,Unspecified,,,UBC,B1,,-123.244579,49.254767
VBL10207,Building Operations Storage Shed,BOSS,Complete,19920101,Operations,,UBC,Academic,UBC,Occupied,,Concrete,1,,496,646,0,,,RACHELW,20210615025018,TONYZ,20210713174629,Outbuildings,,,UBC,B6,,-123.254414,49.262185
VBL10376,Ladner Clock Tower,CLCK,Complete,19680101,Services,,UBC,Academic,UBC,Occupied,,Concrete,1,,45,182,0,,,,,RACHELW,20210727191852,Unspecified,,,UBC,B3,,-123.253657,49.267351
VBL10377,Landscape Architecture Annex,LAX,Complete,19210101,Academic,,UBC,Academic,UBC,Occupied,,Wood,3,,601,021,0,,,,,RACHELW,20210812023154,Unspecified,,,UBC,B2,,-123.250061,49.260657
VBL10037,TRIUMF - Stores Building,TRF17,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,2,,723,843,0,Wayf/AH - PDF from Approved DP,,GISSTUD2,20190514182841,RACHELW,20210709035228,Unspecified,,,,B3,LeasedFromUBC,-123.230587,49.246544
VBL10059,TRIUMF - Shipping / Workshop,TRF28,Complete,19830101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,Concrete,1,,984,850,0,,,GISSTUD2,20190514184524,RACHELW,20210709035306,Unspecified,,,,B3,LeasedFromUBC,-123.230068,49.246246
VBL10056,TRIUMF - Trailer Q,TRF25,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,30,843-2,0,,,GISSTUD2,20190514184315,RACHELW,20210709035601,Outbuildings,,,,B3,LeasedFromUBC,-123.23062,49.24682
