ADD_UID,UNIT_DESIGNATOR,UNIT_NUMBER_PREFIX,UNIT_NUMBER,UNIT_NUMBER_SUFFIX,SITE_NAME,SUPER_FULL_SITE_DESCRIPTOR,CIVIC_NUMBER,CIVIC_NUMBER_SUFFIX,STREET_NAME,STREET_TYPE,IS_STREET_TYPE_PREFIX,STREET_DIRECTION,IS_STREET_DIRECTION_PREFIX,LOCALITY,LOCALITY_DESCRIPTOR,POSTAL_CODE,PROVINCE_CODE,STATUS,IS_OFFICIAL_ADDRESS,IS_PRIMARY,BLDG_UID,ADDRESS_DESCRIPTOR,SITE_POINT_DESCRIPTOR,FOOTPRINT_DESCRIPTOR,FOOTPRINT_ID,IS_NON_CIVIC_ADDRESS,NARRITIVE_LOCATION,IS_MAILING_ADDRESS,MAIL_PROVIDER,IS_ANNUNCIATOR,NUM_OF_UNITS,NEIGHBOURHOOD,ADDRESS_NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARENT_UID,FULL_ADDRESS
VAD10295,,,,,Fairview Crescent Residence (Unit 6),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2764,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211953,VAD11162,2764 Fairview Crescent
VAD11172,Building,,1,,Cecil Green Squash Court,Cecil Green Park House,6251,,Cecil Green Park,Road,0,,0,Vancouver,Municipality,V6T 1Z1,BC,Current,1,1,VBL10418,CampusBuilding,FrontDoor,Building,VBL10418,0,,0,,,0,Academic,,RACHELW,20190916181700,PLAN,20200417211953,VAD10850,"6251 Cecil Green Park Road, Building 1"
VAD11175,,,,,Trail 4,,6400,,Marine,Drive,0,NW,1,Vancouver,Municipality,,BC,Current,1,,,Outdoor,,OutdoorArea,,0,,0,,,0,,CPN: VATRAIL 4,GISSTUD1,20200121012951,PLAN,20200417211953,,6400 NW Marine Drive
VAD10845,,,,,Doug Mitchell Thunderbird Sports Centre - Thunderbird Arena,Doug Mitchell Thunderbird Sports Centre,2555,,Wesbrook,Mall,0,,0,Vancouver,Municipality,V6T 1Z3,BC,Current,1,0,VBL10307,Occupant,FrontDoor,IndoorArea,POI42,0,,1,,1,0,Academic,,,,PLAN,20200417212014,VAD10845,2555 Wesbrook Mall
VAD10439,,,,,St. John's College,,2111,,Lower,Mall,0,,0,Vancouver,Municipality,V6T 1Z4,BC,Current,1,1,VBL10116,CampusBuilding,FrontDoor,Building,VBL10116,0,,1,,,171,Academic,,,,PLAN,20200417212014,,2111 Lower Mall
VAD10494,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 2 -- Acadia Park & Fairview Crescent Residence,2628,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C6,BC,Current,1,0,VBL10258,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212014,VAD11159,2628 Melfa Lane
VAD10441,,,,,Staging Environmental Research Centre (SERC),,6045,,Nurseries,Road,0,,0,Vancouver,Municipality,V6T 1W5,BC,Current,1,1,VBL10123,CampusBuilding,FrontDoor,Building,VBL10123,0,,1,,,0,Academic,,,,PLAN,20200417212014,,6045 Nurseries Road
VAD10495,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 2 -- Acadia Park & Fairview Crescent Residence,2630,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C6,BC,Current,1,0,VBL10258,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212014,VAD11159,2630 Melfa Lane
VAD10496,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 2 -- Acadia Park & Fairview Crescent Residence,2640,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C6,BC,Current,1,0,VBL10258,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212014,VAD11159,2640 Melfa Lane
VAD10497,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,5608,,Montgomery,Place,0,,0,Vancouver,Municipality,V6T 2C7,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212014,VAD11160,5608 Montgomery Place
VAD10499,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,2522,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C6,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212014,VAD11160,2522 Melfa Lane
VAD10500,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,5621,,Yalta,Place,0,,0,Vancouver,Municipality,V6T 1L7,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212015,VAD11160,5621 Yalta Place
VAD10502,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,5604,,Montgomery,Place,0,,0,Vancouver,Municipality,V6T 2C7,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212015,VAD11160,5604 Montgomery Place
VAD10503,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 2 -- Acadia Park & Fairview Crescent Residence,2641,,Tennis,Crescent,0,,0,Vancouver,Municipality,V6T 2C1,BC,Current,1,0,VBL10258,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212015,VAD11159,2641 Tennis Crescent
VAD10863,,,,,Spirit Park Apartments - Huckleberry Daycare,Spirit Park Apartments -- Acadia Park & Fairview Crescent Residence,2735,,Osoyoos,Crescent,0,,0,Vancouver,Municipality,V6T 1X7,BC,Current,1,0,VBL10074,Occupant,FrontDoor,IndoorArea,POI61,0,,1,,0,0,Academic,,,,PLAN,20200417212015,VAD11163,2735 Osoyoos Crescent
VAD11022,,,,,Logan Lane (B5),,2551,,East,Mall,0,,0,Vancouver,Municipality,V6T 2K8,BC,Current,1,0,VBL10226,Residential,FrontDoor,IndoorArea,,0,,1,CanadaPost,,1,Hawthorn,,,,PLAN,20200417211953,,2551 East Mall
VAD10676,,,,,Fairview Crescent Residence (Unit 27),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2614,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211953,VAD11162,2614 Fairview Crescent
VAD10677,,,,,Fairview Crescent Residence (Unit 28),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2628,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211953,VAD11162,2628 Fairview Crescent
VAD10293,,,,,Fairview Crescent Residence (Unit 6),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2762,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211953,VAD11162,2762 Fairview Crescent
VAD11165,,,,,BCR8,,3508,,Wesbrook,Mall,0,,0,Vancouver,Municipality,,BC,Pending,0,1,VBL10422,NeighbourhoodBldg,FrontDoor,Building,,0,,1,CanadaPost,,,Wesbrook Place,,RACHELW,20190912201103,PLAN,20200417211953,,3508 Wesbrook Mall
VAD10108,,,,,Biological Archive Centre,,4000,,Wesbrook,Mall,0,,0,Vancouver,Municipality,V6T 1W5,BC,Retired,0,0,,CampusBuilding,,,,0,,1,,,0,Academic,,,,PLAN,20200417211953,,4000 Wesbrook Mall
VAD10683,,,,,UBC Aquatic Centre (Old),,6121,,University,Boulevard,0,,0,Vancouver,Municipality,V6T 1Z1,BC,Retired,0,0,,CampusBuilding,,,,0,,1,,,0,Academic,,,,PLAN,20200417211954,,6121 University Boulevard
VAD10678,,,,,Fairview Crescent Residence (Unit 28),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2626,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11162,2626 Fairview Crescent
VAD10679,,,,,Fairview Crescent Residence (Unit 28),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2622,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11162,2622 Fairview Crescent
VAD10649,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2625,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2625 Fairview Crescent
VAD10651,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2621,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2621 Fairview Crescent
VAD10778,,,,,Westchester (G1),,6381,,Larkin,Drive,0,,0,Vancouver,Municipality,V6T 2K1,BC,Current,1,0,VBL10220,Residential,FrontDoor,IndoorArea,,0,,1,CanadaPost,,1,Hawthorn,,,,PLAN,20200417212009,,6381 Larkin Drive
VAD10779,,,,,Westchester (G2),,6383,,Larkin,Drive,0,,0,Vancouver,Municipality,V6T 2K1,BC,Current,1,0,VBL10220,Residential,FrontDoor,IndoorArea,,0,,1,CanadaPost,,1,Hawthorn,,,,PLAN,20200417212010,,6383 Larkin Drive
VAD10140,,,,,Logan Lane (D7),,6248,,Logan,Lane,0,,0,Vancouver,Municipality,V6T 2K9,BC,Current,1,0,VBL10226,Residential,FrontDoor,IndoorArea,,0,,1,CanadaPost,,1,Hawthorn,,,,PLAN,20200417212010,,6248 Logan Lane
VAD11075,,,,,Theatre-Film Production Building,,6358,,University,Boulevard,0,,0,Vancouver,Municipality,V6T 1Z4,BC,Current,1,1,VBL10209,CampusBuilding,FrontDoor,Building,VBL10209,0,,1,,,0,Academic,,,,PLAN,20200417212010,,6358 University Boulevard
