ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10129,Logan Lane (E5),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6280 Logan Lane,-123.246535,49.258996
VAD10130,Logan Lane (C8),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6214 Logan Lane,-123.245885,49.25922
VAD10132,Logan Lane (D14),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6236 Logan Lane,-123.245914,49.258903
VAD10133,Logan Lane (D16),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6230 Logan Lane,-123.245945,49.258964
VAD10139,Logan Lane (C3),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6208 Logan Lane,-123.245673,49.25929
VAD10140,Logan Lane (D7),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6248 Logan Lane,-123.245756,49.258711
VAD10141,Logan Lane (A7),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2567 East Mall,-123.245099,49.258681
VAD11075,Theatre-Film Production Building,Vancouver,V6T 1Z4,BC,VBL10209,CampusBuilding,,6358 University Boulevard,-123.253824,49.263939
VAD10143,Logan Lane (E1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6272 Logan Lane,-123.246319,49.259081
VAD10144,Logan Lane (C5),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6210 Logan Lane,-123.245749,49.259268
VAD10146,Logan Lane (A1),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2579 East Mall,-123.244997,49.258497
VAD11076,Thunderbird Parkade,Vancouver,V6T 1Z3,BC,VBL10113,CampusBuilding,,6085 Thunderbird Boulevard,-123.243431,49.261143
VAD11083,Thea Koerner House,Vancouver,V6T 1Z2,BC,VBL10249,CampusBuilding,,6371 Crescent Road,-123.257765,49.268524
VAD10148,Logan Lane (D13),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6234 Logan Lane,-123.245871,49.258874
VAD10131,Logan Lane (B7),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2545 East Mall,-123.245359,49.25899
VAD10151,Logan Lane (C7),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6216 Logan Lane,-123.24583,49.259235
VAD10152,Logan Lane (C9),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6218 Logan Lane,-123.245905,49.259213
VAD10147,Logan Lane (C1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6202 Logan Lane,-123.245589,49.259325
VAD10153,Logan Lane (B8),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2547 East Mall,-123.245383,49.259027
VAD10154,Logan Lane (D4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6254 Logan Lane,-123.245693,49.258657
VAD11123,Thunderbird Residence - Impound Lot,Vancouver,V6T 1Z4,BC,VBL10079,Occupant,,2451 East Mall,-123.246503,49.260444
VAD11130,Thunderbird Residence - Warehouse,Vancouver,V6T 1Z4,BC,VBL10121,Occupant,,2440 West Mall,-123.25077,49.259011
VAD10804,Westchester (B3),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2588 West Mall,-123.249222,49.257084
VAD10820,Biomedical Research Centre,Vancouver,V6T 1Z3,BC,VBL10084,CampusBuilding,,2222 Health Sciences Mall,-123.24738,49.264014
VAD10822,Building Operations Nursery,Vancouver,V6T 1W5,BC,VBL10337,CampusBuilding,,6029 Nurseries Road,-123.228868,49.244229
VAD11106,UBC Life Building,Vancouver,V6T 1Z1,BC,VBL10248,CampusBuilding,,6138 Student Union Boulevard,-123.250462,49.267639
VAD10482,Acadia House - 3 (106-110),Vancouver,V6T 1R9,BC,VBL10308,Residential,,2720 Acadia Road,-123.235502,49.262682
VAD10483,Acadia House,Vancouver,V6T 1R9,BC,VBL10308,CampusBuilding,,2700 Acadia Road,-123.236083,49.263079
VAD10484,Acadia House - 1 (101-104),Vancouver,V6T 1R9,BC,VBL10308,Residential,,2710 Acadia Road,-123.235864,49.262933
VAD10789,Westchester (B4),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2586 West Mall,-123.249266,49.257149
VAD10900,Coast - Townhouse (4),Vancouver,V6T 2J5,BC,VBL10277,Residential,CanadaPost,6076 Chancellor Mews,-123.253012,49.271157
VAD10040,TRIUMF House,Vancouver,V6T 2L6,BC,VBL10320,OtherBuilding,CanadaPost,5835 Thunderbird Boulevard,-123.241092,49.262078
VAD10841,Buchanan Building,Vancouver,V6T 1Z1,BC,VBL10323,CampusBuilding,,1866 Main Mall,-123.25504,49.268242
VAD10849,Cecil Green Park Coach House,Vancouver,V6T 1Z1,BC,VBL10341,CampusBuilding,,6323 Cecil Green Park Road,-123.258576,49.271001
VAD10850,Cecil Green Park House,Vancouver,V6T 1Z1,BC,VBL10342,CampusBuilding,,6251 Cecil Green Park Road,-123.257724,49.271335
VAD10852,Centre for Comparative Medicine,Vancouver,V6T 1W5,BC,VBL10017,CampusBuilding,,4145 Wesbrook Mall,-123.233064,49.246303
VAD10805,Westchester (F1),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6371 Larkin Drive,-123.249074,49.257563
VAD10806,Westchester (F2),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6373 Larkin Drive,-123.249065,49.257512
VAD10807,Westchester (F3),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6375 Larkin Drive,-123.249007,49.257441
VAD10795,Westchester (C4),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2570 West Mall,-123.249474,49.257411
VAD11022,Logan Lane (B5),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2551 East Mall,-123.245311,49.258939
VAD11025,Logan Lane (B4),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2555 East Mall,-123.2453,49.258926
VAD11042,Westchester (F4),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6377 Larkin Drive,-123.248953,49.257406
VAD10278,Fraser Hall,Vancouver,V6T 1Z3,BC,VBL10117,CampusBuilding,CanadaPost,2550 Wesbrook Mall,-123.24075,49.261474
VAD10865,Nobel Biocare Oral Health Centre,Vancouver,V6T 1Z3,BC,VBL10070,Occupant,,2151 Wesbrook Mall,-123.245555,49.265894
VAD10711,Child Care Services - Little Goslings/Coho,Vancouver,V6T 2E6,BC,VBL10274,CampusBuilding,,5590 Osoyoos Crescent,-123.234202,49.259848
VAD10714,Child Care Services - Summer of 73/Lilliput,Vancouver,V6T 2E6,BC,VBL10141,CampusBuilding,,5690 Osoyoos Crescent,-123.23564,49.259373
VAD10002,Hawthorn Green (A2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6356 Hawthorn Lane,-123.248852,49.258147
VAD10004,Hawthorn Green (B2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6346 Hawthorn Lane,-123.248736,49.258188
VAD10005,Hawthorn Green (C2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6336 Hawthorn Lane,-123.248611,49.258233
VAD10006,Hawthorn Green (C1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6338 Hawthorn Lane,-123.248639,49.258223
VAD10007,Hawthorn Green (D1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6332 Hawthorn Lane,-123.248523,49.258264
VAD10190,Nine on the Park (7),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6286 Eagles Drive,-123.247058,49.259189
VAD10191,Nine on the Park (8),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6284 Eagles Drive,-123.247023,49.259146
VAD10073,Tapestry North,Vancouver,V6S 0A6,BC,VBL10137,NeighbourhoodBldg,CanadaPost,3338 Wesbrook Mall,-123.235148,49.25461
VAD10068,The Bristol,Vancouver,V6T 2G8,BC,VBL10286,NeighbourhoodBldg,CanadaPost,5735 Hampton Place,-123.234704,49.258527
VAD11094,UBC Aquatic Centre,Vancouver,V6T 1Z1,BC,VBL10071,CampusBuilding,,6080 Student Union Boulevard,-123.248858,49.267331
VAD10715,Child Care Services - Tillicum/Canada Goose,Vancouver,V6T 2E6,BC,VBL10142,CampusBuilding,,5660 Osoyoos Crescent,-123.235165,49.259522
VAD10712,Child Care Services - Little Raven/Pacific Spirit,Vancouver,V6T 2E6,BC,VBL10275,CampusBuilding,,5580 Osoyoos Crescent,-123.23389,49.26032
VAD10722,Civil and Mechanical Engineering Building,Vancouver,V6T 1Z4,BC,VBL10329,CampusBuilding,,6250 Applied Science Lane,-123.249235,49.262687
VAD10159,Logan Lane (C4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6206 Logan Lane,-123.245729,49.259275
VAD10160,Logan Lane (D2),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6260 Logan Lane,-123.24566,49.258594
VAD10162,Logan Lane (A3),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2575 East Mall,-123.245016,49.25858
VAD10186,Nine on the Park (2),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6296 Eagles Drive,-123.247231,49.2594
