LONG,LAT,ADD_UID,UNIT_DESIGNATOR,UNIT_NUMBER_PREFIX,UNIT_NUMBER,UNIT_NUMBER_SUFFIX,SITE_NAME,SUPER_FULL_SITE_DESCRIPTOR,CIVIC_NUMBER,CIVIC_NUMBER_SUFFIX,STREET_NAME,STREET_TYPE,IS_STREET_TYPE_PREFIX,STREET_DIRECTION,IS_STREET_DIRECTION_PREFIX,LOCALITY,LOCALITY_DESCRIPTOR,POSTAL_CODE,PROVINCE_CODE,STATUS,IS_OFFICIAL_ADDRESS,IS_PRIMARY,BLDG_UID,ADDRESS_DESCRIPTOR,SITE_POINT_DESCRIPTOR,FOOTPRINT_DESCRIPTOR,FOOTPRINT_ID,IS_NON_CIVIC_ADDRESS,NARRITIVE_LOCATION,IS_MAILING_ADDRESS,MAIL_PROVIDER,IS_ANNUNCIATOR,NUM_OF_UNITS,NEIGHBOURHOOD,ADDRESS_NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARENT_UID,FULL_ADDRESS
327984,5535078,OAD10015,,,,,Valhalla Residence - North Entrance,Valhalla Residence,1331,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,0,OBL10011,CampusBuilding,Rooftop,IndoorArea,,0,,1,,,,,,,,RACHELW,20231010163552,OAD10014,1331 Discovery Avenue
328177,5534607,OAD10038,,,,,"Engineering, Management and Education Building",,1137,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10027,CampusBuilding,FrontDoor,Building,OBL10027,0,,1,,,,,,,,RACHELW,20231010185613,,1137 Alumni Avenue
327966,5535012,OAD10006,,,,,Valhalla Residence - South Entrance,Valhalla Residence,1291,,Discovery,Avenue,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,0,OBL10011,CampusBuilding,Rooftop,IndoorArea,,0,,1,,,,,,,,RACHELW,20231010163552,OAD10014,1291 Discovery Avenue
328157,5535075,OAD10008,,,,,Purcell Residence,,1323,,International,Mews,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10013,CampusBuilding,FrontDoor,Building,OBL10013,0,,1,,,,,,,,RACHELW,20231010163552,,1323 International Mews
327835,5534968,OAD10020,,,,,Cascades Residence - H,,3153,,Upper Residence,Place,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10017,CampusBuilding,FrontDoor,Building,OBL10017,0,,1,,,,,,,,RACHELW,20231010163552,,3153 Upper Residence Place
328573,5535564,OAD10060,,,,,Innovation Precinct 1,,1540,,Innovation,Drive,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10052,CampusBuilding,FrontDoor,Building,OBL10052,0,,1,,,,,,RACHELW,20200806205453,RACHELW,20231010185613,,1540 Innovation Drive
328330,5534368,OAD10052,Building,,2,,Quonset - Science Shed,Quonset,1035,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10020,CampusBuilding,FrontDoor,Building,OBL10020,0,,1,,,,,,GISSTUD2,20190809195854,RACHELW,20231010185613,OAD10051,"1035 Alumni Avenue, Building 2"
327903,5534766,OAD10030,,,,,Cascades Residence - D,,3176,,Lower Residence,Lane,0,,0,Kelowna,Municipality,V1V 1V8,BC,Current,1,1,OBL10009,CampusBuilding,FrontDoor,Building,OBL10009,0,,1,,,,,,,,RACHELW,20231010163552,,3176 Lower Residence Lane
328254,5534820,OAD10046,,,,,Geo Exchange Control Building,,3348,,University,Way,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10002,CampusBuilding,FrontDoor,Building,OBL10002,0,,1,,,,,,,,RACHELW,20231010185613,,3348 University Way
328363,5534470,OAD10059,Building,,2,,Portable V,,1060,,Diversity,Place,0,,0,Kelowna,Municipality,V1V 1V7,BC,Current,1,1,OBL10051,CampusBuilding,FrontDoor,Building,OBL10051,0,,1,,,,,,NIKT,20200713210155,RACHELW,20231010185613,,"1060 Diversity Place, Building 2"
328292,5534356,OAD10068,Building,,4,,Quonset - Facilities Equipment Shed,Quonset,1035,,Alumni,Avenue,0,,0,Kelowna,Municipality,V1V 1V7,BC,Pending,1,1,OBL10058,CampusBuilding,FrontDoor,Building,OBL10058,0,,1,,,,,,RACHELW,20230103213753,RACHELW,20230110173224,OAD10051,"1035 Alumni Avenue, Building 4"
